Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-05T15:58:09.539Z","free","auto","No","0","228859","187648","2273","418780","0.35"
"2025-10-05T15:52:49.339Z","free","auto","No","0","112870","1244928","6857","1364655","0.49"
"2025-10-05T15:49:01.341Z","free","auto","No","0","8125","517120","6760","532005","0.18"
"2025-10-05T15:47:21.307Z","free","auto","No","0","386","100480","264","101130","0.03"
"2025-10-05T15:43:27.849Z","free","auto","No","0","93598","493056","4433","591087","0.27"
"2025-10-05T15:40:38.751Z","free","auto","No","0","9071","193152","7613","209836","0.11"
"2025-10-05T15:37:00.271Z","free","auto","No","0","81745","338304","6066","426115","0.22"
"2025-10-05T15:18:30.522Z","free","auto","No","0","70229","241664","4261","316154","0.17"
"2025-10-05T15:11:53.777Z","free","auto","No","0","67188","83584","938","151710","0.11"
"2025-10-05T15:07:20.772Z","free","auto","No","0","63694","10112","1813","75619","0.09"
"2025-10-05T14:58:03.573Z","free","auto","No","0","256","9984","157","10397","0.004"
